id,from,to,type,numLanes,speed,priority,spreadType,width,name,endOffset,sidewalkWidth,length,emergency,authority,passenger,hov,taxi,bus,delivery,truck,trailer,motorcyle,moped
-157391103#0,99536685,99536683,highway.residential,1,13.89,4,,,Oregon Street,,,108.380,1,1,1,1,1,1,1,1,1,1,1
-157391103#1,99536686,99536685,highway.residential,1,13.89,4,,,Oregon Street,,,88.064,1,1,1,1,1,1,1,1,1,1,1
-157391103#2,99536688,99536686,highway.residential,1,13.89,4,,,Oregon Street,,,89.712,1,1,1,1,1,1,1,1,1,1,1
-157391103#3,1696128091,99536688,highway.residential,1,13.89,4,,,Oregon Street,,,41.141,1,1,1,1,1,1,1,1,1,1,1
-157391106#0,2199385427,99536690,highway.residential,1,13.89,4,,,Oregon Street,,,7.681,1,1,1,1,1,1,1,1,1,1,1
-157391106#1,99536691,2199385427,highway.residential,1,13.89,4,,,Oregon Street,,,100.463,1,1,1,1,1,1,1,1,1,1,1
-157391110,99544864,1696128093,highway.residential,1,13.89,4,,,Poinsettia Avenue,,,24.331,1,1,1,1,1,1,1,1,1,1,1
-157391115,1696128095,99544864,highway.residential,1,13.89,4,,,Poinsettia Avenue,,,64.596,1,1,1,1,1,1,1,1,1,1,1
-157391116,1696128099,1696128095,highway.residential,1,13.89,4,,,Poinsettia Avenue,,,186.822,1,1,1,1,1,1,1,1,1,1,1
-157391134,99510451,1696128083,highway.residential,1,13.89,4,,,Weber Street,,,30.321,1,1,1,1,1,1,1,1,1,1,1
-157391135,99504035,99510451,highway.residential,1,13.89,4,,,Weber Street,,,98.251,1,1,1,1,1,1,1,1,1,1,1
-157391136#0,1698591936,99510449,highway.residential,1,13.89,4,,,Weber Street,,,54.021,1,1,1,1,1,1,1,1,1,1,1
-157391136#1,1696128083,1698591936,highway.residential,1,13.89,4,,,Weber Street,,,17.120,1,1,1,1,1,1,1,1,1,1,1
-157391141#0,99510453,99504035,highway.residential,1,13.89,4,,,Weber Street,,,99.334,1,1,1,1,1,1,1,1,1,1,1
-157391141#1,99510454,99510453,highway.residential,1,13.89,4,,,Weber Street,,,101.013,1,1,1,1,1,1,1,1,1,1,1
-157391141#2,99510457,99510454,highway.residential,1,13.89,4,,,Weber Street,,,98.840,1,1,1,1,1,1,1,1,1,1,1
-157403406#0,99566009,99556088,highway.residential,1,13.89,4,,,Arlington Street,,,101.173,1,1,1,1,1,1,1,1,1,1,1
-157403406#1,99590642,99566009,highway.residential,1,13.89,4,,,Arlington Street,,,199.954,1,1,1,1,1,1,1,1,1,1,1
-157403432,99538094,99550476,highway.residential,1,13.89,4,,,Concord Street,,,202.550,1,1,1,1,1,1,1,1,1,1,1
-157403435,99595871,99595868,highway.residential,1,13.89,4,,,Concord Street,,,201.383,1,1,1,1,1,1,1,1,1,1,1
-157403439,814503585,814503581,highway.residential,1,13.89,4,,,Givens Street,,,26.638,1,1,1,1,1,1,1,1,1,1,1
-157403479,99556089,1696237346,highway.residential,1,13.89,4,,,Kittredge Drive,,,51.831,1,1,1,1,1,1,1,1,1,1,1
-157403480#0,99556088,99556086,highway.residential,1,13.89,4,,,Kittredge Drive,,,252.072,1,1,1,1,1,1,1,1,1,1,1
-157403480#1,1696237346,99556088,highway.residential,1,13.89,4,,,Kittredge Drive,,,65.342,1,1,1,1,1,1,1,1,1,1,1
-157403483#0,99595871,99525213,highway.residential,1,13.89,4,,,Madison Avenue,,,101.293,1,1,1,1,1,1,1,1,1,1,1
-157403483#1,cluster_814503510_99612500,99595871,highway.residential,1,13.89,4,,,Madison Avenue,,,98.150,1,1,1,1,1,1,1,1,1,1,1
-157403512#0,5782870251,99591462,highway.residential,1,13.89,4,,,Ramona Lane,,,44.707,1,1,1,1,1,1,1,1,1,1,1
-157403512#1,1638697427,5782870251,highway.residential,1,13.89,4,,,Ramona Lane,,,1.390,1,1,1,1,1,1,1,1,1,1,1
-157403513,99619141,1696237348,highway.residential,1,13.89,4,,,Rio Grande Avenue,,,46.683,1,1,1,1,1,1,1,1,1,1,1
-157403514,1696237348,1696237344,highway.residential,1,13.89,4,,,Rio Grande Avenue,,,17.032,1,1,1,1,1,1,1,1,1,1,1
-157403536#0,5835965624,cluster_553031949_99646725,highway.residential,1,13.89,4,,,Springdale Road,,,40.917,1,1,1,1,1,1,1,1,1,1,1
-157403536#1,2191985497,5835965624,highway.residential,1,13.89,4,,,Springdale Road,,,59.380,1,1,1,1,1,1,1,1,1,1,1
